name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
MilkyWay,21,28.000,1267,273.200,1.463,0.00662,0.308,0.095,0.588,1.00000,1.00000,1.00000,,,,,,,,,50.126,0.24656,6.098,39.047,8.616,,framework,0.992,1.000,0.800,0.000,1,1,1,0,1,0,0.021,0.100,0,0.000,0.500,0.700,0.000
M31,42,120.000,1116,400,12.055,0.05882,0.696,0.484,2.493,0.90476,0.95238,1.00000,,,,,,,,,87.874,0.46165,3.004,9.244,6.776,,framework,0.994,1.000,0.600,0.000,1,1,1,0,1,1,0.023,0.100,16,2.660,0.500,0.700,0.000
CamB,9,1.790,100,13.589,0.568,0.08314,0.379,0.143,0.757,1.00000,1.00000,1.00000,15.602,2.04810,10.402,108.193,12.062,0.00000,0.00000,0.00000,2.716,0.58027,1.811,3.689,3.542,10.023,framework,0.948,1.000,5.200,0.000,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
D512-2,4,3.830,207.025,33.132,0.726,0.02736,0.225,0.050,0.407,1.00000,1.00000,1.00000,6.543,0.19679,1.632,2.664,1.954,0.00000,1.00000,1.00000,1.580,0.04656,0.456,0.278,0.763,1.408,framework,0.990,1.000,1.000,0.000,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
D564-8,6,3.070,220.852,23.400,0.071,0.00313,0.037,0.001,0.066,1.00000,1.00000,1.00000,7.158,0.49380,4.278,18.299,5.658,0.00000,0.00000,0.00000,1.893,0.13654,1.063,1.356,1.607,4.240,framework,0.940,1.000,6.000,0.000,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
D631-7,16,7.190,103.691,32.154,0.659,0.01276,0.189,0.036,0.523,1.00000,1.00000,1.00000,10.481,0.55178,5.482,30.051,8.984,0.37500,0.37500,0.43750,3.869,0.28516,1.905,3.871,5.588,5.293,framework,0.998,1.008,1.000,0.800,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
DDO064,14,2.980,104.700,28.623,0.758,0.02423,0.140,0.020,0.257,1.00000,1.00000,1.00000,3.521,0.16067,0.632,0.399,1.169,0.92857,1.00000,1.00000,4.771,0.28969,1.022,1.125,1.658,0.492,framework,0.996,1.006,1.000,0.586,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
DDO154,12,5.920,101.879,30.245,0.636,0.01582,1.399,1.958,2.407,0.50000,0.83333,1.00000,4.433,0.20372,9.439,89.091,15.767,0.00000,0.00000,0.00000,2.165,0.11317,4.518,22.264,8.573,8.040,framework,0.950,1.016,6.598,1.635,0,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
DDO161,31,13.370,565.476,68.465,2.029,0.04740,1.671,2.794,7.075,0.74194,0.87097,0.93548,18.512,0.43559,12.231,149.598,24.243,0.00000,0.03226,0.09677,1.920,0.08373,0.995,1.024,2.543,10.560,newtonian,0.990,1.000,1.000,0.000,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
DDO168,10,4.120,104.919,31.752,0.693,0.01692,0.444,0.197,0.883,1.00000,1.00000,1.00000,7.823,0.30584,5.483,30.059,10.028,0.20000,0.40000,0.60000,4.079,0.16668,2.636,7.720,4.325,5.038,framework,0.978,0.988,1.051,0.000,1,1,1,1,0,0,0.021,0.100,0,0.000,0.500,0.700,0.000
