name,N,rMax_kpc,amp,newtonAmp,rms_fw,rel_rms_fw,sigma_rms_fw,chi2nu_fw,max_sigma_fw,frac_fw_within_1sigma,frac_fw_within_2sigma,frac_fw_within_3sigma,rms_mond,rel_rms_mond,sigma_rms_mond,chi2nu_mond,max_sigma_mond,frac_mond_within_1sigma,frac_mond_within_2sigma,frac_mond_within_3sigma,rms_newton,rel_rms_newton,sigma_rms_newton,chi2nu_newton,max_sigma_newton,delta_sigma_mond_minus_fw,winner_by_sigma,r4,r5,R5-r4,r5r4rmax,r5-r4*rmax*rho4*amp,edge_width_pct,outer_extension_pct,edge_bounded_1pct,edge_bounded_5pct,edge_bounded_10pct,has_mond_components,has_bulge_component,remap_on,remap_delta,remap_rc,n_remapped,max_remap_kpc,mond_disk_ml,mond_bulge_ml,mond_g_dagger_m_s2
UGC01230,11,36.54,104.69,57.683,1.092,0.02864,0.099,0.01,0.186,1,1,1,19.793,0.25209,1.921,3.689,3.271,0.36364,0.63636,0.81818,15.875,0.24392,1.49,2.442,2.32,1.822,framework,0.913,1.033,0.12,4.3848,,12,3.3,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC4013,36,31.01,104.752,78.095,4.382,0.02527,0.749,0.562,1.675,0.75,1,1,13.492,0.07791,2.736,7.484,5.748,0.27778,0.55556,0.69444,24.468,0.1329,5.329,29.207,12.968,1.986,framework,0.86,1,0.14,4.3414,,13.991,0,1,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
UGC05253,73,53.29,259.5,180.9,4.136,0.01718,1.241,1.54,3.046,0.60274,0.87671,0.9863,15.259,0.0657,2.63,6.918,10.071,0.65753,0.79452,0.86301,53.484,0.23599,14.238,205.549,51.007,1.389,framework,0.966,1.04,0.074,3.94346,,7.4,4,0,1,1,1,1,1,0.058,0.258,58,3.033,0.5,0.7,0
NGC3769,12,37.16,104.483,70.771,4.364,0.04325,0.512,0.263,1.032,0.91667,1,1,15.473,0.14348,2.157,4.654,3.341,0.08333,0.5,0.83333,21.673,0.18676,2.53,6.982,3.86,1.645,framework,0.895,1,0.105,3.9018,,10.511,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC09133,68,108.31,1270,257.964,4.525,0.0182,2.205,4.862,7.514,0.63235,0.76471,0.88235,21.18,0.08204,8.265,68.305,32.461,0.26471,0.5,0.58824,111.09,0.39767,27.072,743.819,91.51,6.06,framework,0.97,1,0.03,3.2493,,3,0,1,1,1,1,1,1,0.036,0.35,45,3.834,0.5,0.7,0
NGC3726,12,32.52,104.47,74.757,4.349,0.02752,0.591,0.349,1.148,0.91667,1,1,25.485,0.17987,4.998,24.978,9.037,0.16667,0.25,0.25,15.779,0.09831,2.664,7.742,5.196,4.407,framework,0.905,1,0.095,3.0894,,9.461,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
UGC05750,11,22.85,104.833,41.994,0.268,0.03015,0.032,0.001,0.067,1,1,1,15.398,0.81622,1.792,3.211,3.168,0.09091,0.72727,0.90909,7.105,0.98422,0.972,1.04,2.165,1.76,framework,0.873,0.964,0.091,2.07935,,9.043,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC2955,24,35.43,1372.062,362.774,10.419,0.04608,1.915,3.667,6.536,0.54167,0.83333,0.91667,20.768,0.08686,2.821,7.958,5.931,0.41667,0.58333,0.66667,73.623,0.29884,7.876,64.735,15.309,0.906,framework,0.974,1.032,0.058,2.05494,,5.8,3.2,0,1,1,1,1,0,0.021,0.1,0,0,0.5,0.7,0
F563-1,17,20.1,104.728,52.887,2.323,0.04931,0.234,0.055,0.54,1,1,1,18.48,0.22789,1.667,2.778,4.038,0.35294,0.82353,0.94118,8.338,0.21969,0.897,0.856,2.527,1.433,framework,0.95,1.029,0.079,1.5879,,7.82,2.859,0,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
NGC0300,25,11.8,104.306,47.756,5.881,0.06591,1.098,1.206,3.02,0.72,0.92,0.96,5.664,0.0741,1.551,2.406,5.137,0.64,0.88,0.92,3.802,0.06043,0.831,0.72,2.136,0.453,newtonian,0.87,1,0.13,1.534,,13.03,0,1,1,1,1,0,0,0.021,0.1,0,0,0.5,0.7,0
